trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.99, 'e': 113.92024049543187}",20,10,-7.661006856388449,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.99, 'e': 112.78103809047755}",30,0,-143.55274811677086,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
58,False,"{'a': 0.99, 'e': 111.65322770957277}",30,0,-240.1973180579535,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
59,False,"{'a': 0.99, 'e': 110.53669543247705}",25,0,-44.18494326453958,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.99, 'e': 109.43132847815228}",30,0,-126.79761703544214,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.99, 'e': 108.33701519337076}",20,7,-63.5524316269924,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.99, 'e': 107.25364504143705}",30,0,-108.66854109048205,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.99, 'e': 106.18110859102268}",25,0,-84.9507372588896,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.99, 'e': 105.11929750511246}",35,0,-254.66472908686097,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 5}",0
65,False,"{'a': 0.99, 'e': 104.06810453006133}",25,5,-77.57581327384086,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.99, 'e': 103.02742348476072}",30,0,-200.55856298394042,"{0: 12, 1: 5, 2: 11, 3: 0, 4: 2}",0
67,False,"{'a': 0.99, 'e': 101.99714924991311}",25,0,-82.94037699440801,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.99, 'e': 100.97717775741397}",25,0,-186.8831551215013,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
69,False,"{'a': 0.99, 'e': 99.96740597983982}",30,0,-273.7342646821311,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 5}",0
70,False,"{'a': 0.99, 'e': 98.96773192004143}",25,0,-136.78625067076402,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.99, 'e': 97.97805460084102}",25,0,-28.039639366766842,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.99, 'e': 96.9982740548326}",25,0,-115.8439141356382,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 0.99, 'e': 96.02829131428427}",20,0,-157.3729522057695,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.99, 'e': 95.06800840114143}",25,0,-100.30547418219994,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
75,False,"{'a': 0.99, 'e': 94.11732831713002}",25,0,-147.4737748940915,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
76,False,"{'a': 0.99, 'e': 93.17615503395872}",20,0,-72.7942303498967,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.99, 'e': 92.24439348361913}",25,0,-110.09454195738536,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
78,False,"{'a': 0.99, 'e': 91.32194954878294}",20,8,-95.75849240515178,"{0: 4, 1: 1, 2: 6, 3: 0, 4: 1}",1
79,False,"{'a': 0.99, 'e': 90.4087300532951}",20,0,-153.98403691317017,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
80,False,"{'a': 0.99, 'e': 89.50464275276215}",30,0,-148.92342674110543,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.99, 'e': 88.60959632523453}",20,0,-10.630484772163555,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.99, 'e': 87.72350036198219}",25,0,-105.49619090642479,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.99, 'e': 86.84626535836237}",30,8,-0.43346610963495236,"{0: 17, 1: 5, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.99, 'e': 85.97780270477875}",25,0,-116.36621247801509,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
85,False,"{'a': 0.99, 'e': 85.11802467773097}",20,0,-123.54531052340117,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.99, 'e': 84.26684443095367}",30,0,-140.35967369999372,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
87,False,"{'a': 0.99, 'e': 83.42417598664413}",20,0,-95.41675422362889,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.99, 'e': 82.58993422677769}",20,0,-97.21255044039968,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.99, 'e': 81.76403488450991}",25,0,-77.52332969035992,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.99, 'e': 80.94639453566481}",30,0,-253.46356053362425,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
91,False,"{'a': 0.99, 'e': 80.13693059030815}",25,0,-135.89053311768453,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
92,False,"{'a': 0.99, 'e': 79.33556128440507}",30,0,-101.41480126510851,"{0: 18, 1: 8, 2: 2, 3: 1, 4: 1}",0
